imdb_id,runtime,budget,reveune,ratings
tt0349903,125,110000000,362744280,6.5
tt0054698,110,2500000,9500000,7.7
tt0096874,108,40000000,332000000,7.8
tt0272152,120,48000000,50315140,7.4
tt0092007,119,24000000,133000000,7.3
tt0100403,108,35000000,57120318,6.3
tt0289043,113,5000000,82719885,7.6
tt0098382,107,30000000,70200000,5.5
tt0046672,127,5000000,28200000,7.2
tt0102975,113,27000000,96900000,7.2
tt0387564,103,1200000,103911669,7.6
tt0101889,137,24000000,41895491,7.5
tt0373926,128,80000000,162944923,6.4
tt0181689,145,102000000,358372926,7.6
tt0452624,108,32000000,5914908,6.0
tt0098663,100,6000000,14278900,6.1
tt0119396,154,12000000,39673162,7.5
tt0066921,136,2200000,26589000,8.3
tt0425210,110,27000000,56308881,7.7
tt0401792,124,40000000,158733820,8.0
tt0458481,102,65000000,39407616,6.5
tt0091605,130,20000000,77200000,7.7
tt0111280,118,38000000,120000000,6.6
tt0211915,122,10000000,173921954,8.3
tt0099088,118,40000000,244527583,7.4
tt0112573,177,72000000,210000000,8.3
tt0117731,111,46000000,150000000,7.6
tt0120844,103,70000000,118000000,6.4
tt0253754,117,60000000,67312826,6.4
tt0070379,110,500000,3000000,7.3
tt0395169,121,17500000,38000000,8.1
tt0097165,129,16400000,235860116,8.1
tt0053125,136,4000000,13275000,8.3
tt0489270,108,10000000,163876815,6.2
tt0432348,92,4000000,152925093,6.6
tt0367882,122,185000000,786636033,6.1
tt0088247,108,6400000,78371200,8.0
tt0441909,121,12899867,85582407,7.6
tt0032976,130,1288000,6000000,8.1
tt0171804,118,2000000,11540607,7.5
tt0086066,91,10000000,33697647,7.1
tt0365737,128,50000000,94000000,6.9
tt0086216,94,10000000,2494480,7.2
tt0092005,89,8000000,52287000,8.1
tt0110598,106,3000000,15119639,7.2
tt0289635,93,6400000,2500000,6.4
tt0068646,175,6000000,245066411,9.2
tt0053291,122,2883848,25000000,8.2
tt0071562,200,13000000,47542841,9.0
tt0110632,119,34000000,50282766,7.3
tt0099674,162,54000000,136766062,7.6
tt0146882,113,30000000,47126295,7.5
tt0024216,100,672000,10000000,7.9
tt0276751,101,27000000,129000000,7.0
tt0055312,136,2900000,5000000,7.2
tt0099653,127,22000000,505000000,7.0
tt0067992,100,3000000,4000000,7.8
tt0070328,121,7000000,161777836,6.8
tt0360717,187,207000000,550000000,7.2
tt0380599,130,50000000,42093706,6.8
tt0051459,108,3000000,17570324,8.0
tt0057345,103,900000,528428,7.6
tt0096895,126,35000000,411348924,7.5
tt0372784,140,150000000,374218673,8.2
tt0102926,119,19000000,272742922,8.6
tt0116282,98,7000000,60611975,8.1
tt0320691,121,22000000,95708457,7.0
tt0111161,142,25000000,28341469,9.3
tt0086879,160,18000000,51973029,8.3
tt0103064,137,100000000,520000000,8.5
tt0114558,145,42000000,7959291,7.2
tt0053604,125,3000000,25000000,8.3
tt0449088,169,300000000,961000000,7.1
tt0094812,108,7000000,50888000,7.1
tt0044706,85,730000,8000000,7.9
tt0034583,102,878000,10462500,8.5
tt0101410,116,9000000,6153939,7.7
tt0389326,105,2600000,3166000,7.9
tt0425598,100,3000000,11718595,7.2
tt0089015,96,350000,2400000,7.0
tt0181852,109,200000000,435000000,6.3
tt0119643,178,90000000,142940100,7.2
tt0496806,122,85000000,311312624,6.9
tt0354899,105,6000000,9524340,7.3
tt0324133,102,7800000,22441323,6.7
tt0038787,102,2000000,24464742,7.9
tt0109254,104,50000000,119208989,5.6
tt0412019,105,10000000,45742101,7.2
tt0315327,101,80000000,484572835,6.7
tt0448124,112,12000000,1381665,7.5
tt0327554,104,100000000,82102379,3.3
tt0108399,120,12500000,12281551,7.9
tt0278504,118,46000000,113714830,7.2
tt0330602,92,4361898,3031801,6.7
tt0327056,138,25000000,156822020,7.9
tt0417148,105,33000000,62022014,5.4
tt0222851,114,12000000,15250000,7.2
tt0107290,127,63000000,920100000,8.1
tt0119567,129,73000000,229074524,6.6
tt0163025,92,93000000,368780809,5.9
tt0175880,188,37000000,48451803,8.0
tt0064116,175,5000000,5321508,8.5
tt0301357,121,4800000,79384880,7.7
tt0102536,129,3500000,2015810,7.8
tt0404030,106,7000000,2697930,7.4
tt0120663,159,65000000,162091208,7.4
tt0047478,207,2000000,271841,8.6
tt0078748,117,11000000,104931801,8.4
tt0458352,109,35000000,326551094,6.9
tt0103776,126,80000000,280000000,7.0
tt0087800,91,1800000,25504513,7.5
tt0093822,94,6000000,29180280,7.3
tt0100150,115,14000000,5080409,7.8
tt0095953,133,25000000,412800000,8.0
tt0048728,106,2500000,8750000,7.4
tt0082096,149,14000000,85000000,8.3
tt0454848,129,45000000,184376254,7.6
tt0050083,96,340000,1000000,8.9
tt0058461,99,200000,14500000,8.0
tt0241303,121,25000000,152500343,7.2
tt0378194,136,30000000,152159461,8.0
tt0370263,101,70000000,171183863,5.6
tt0061184,131,7500000,33736689,8.0
tt0379725,114,7000000,49084830,7.3
tt0114660,116,8000000,529766,6.8
tt0333766,102,2500000,26781723,7.4
tt0103772,127,49000000,352927224,7.0
tt0097239,99,7500000,145793296,7.4
tt0029583,83,1488423,184925486,7.6
tt0116209,162,27000000,231976425,7.4
tt0363771,143,180000000,748806957,6.9
tt0112462,121,100000000,336529144,5.4
tt0118688,125,125000000,238207122,3.7
tt0362270,119,50000000,34808403,7.3
tt0253474,150,35000000,120072577,8.5
tt0108052,195,22000000,321365567,8.9
tt0268380,81,59000000,383257136,7.5
tt0052357,128,2479000,28000000,8.3
tt0060196,161,1200000,6000000,8.8
tt0055256,115,3000000,4000000,7.9
tt0123755,90,250000,501818,7.2
tt0058331,139,6000000,102272727,7.8
tt0319262,124,125000000,544272402,6.4
tt0758730,94,40000000,41797066,4.7
tt0219822,96,6000000,705308,6.4
tt0314524,100,2224000,28000000,6.5
tt0113627,112,3600000,49800000,7.5
tt0154421,117,2500000,7235,6.8
tt0268978,135,60000000,313542341,8.2
tt0117509,120,14500000,147298761,6.7
tt0286499,112,3500159,76578641,6.6
tt0195685,131,52000000,256271286,7.3
tt0315733,124,20000000,60427839,7.7
tt0138704,84,60000,3221152,7.4
tt0061418,111,2500000,50700000,7.8
tt0097240,100,2500000,4729352,7.3
tt0162650,99,46000000,107196498,5.9
tt0067741,100,4000000,12121618,6.6
tt0100935,124,9500000,14560247,7.2
tt0043265,105,1300000,10750000,7.7
tt0119217,126,10000000,225933435,8.3
tt0120601,112,13000000,22863596,7.7
tt0069257,104,1978000,10000000,6.0
tt0070679,112,2142000,1458000,5.9
tt0443453,82,18000000,261572744,7.3
tt0120689,189,60000000,284600000,8.6
tt0105236,99,1200000,14661007,8.3
tt0409182,99,160000000,181674817,5.6
tt0340855,110,8000000,60378584,7.3
tt0058329,130,2135161,7000000,7.2
tt0110265,96,1500000,418961,6.5
tt0314331,135,40000000,244931766,7.6
tt0125439,124,42000000,363889678,7.1
tt0073486,133,3000000,108981275,8.7
tt0457513,96,4000000,31584901,6.7
tt0046912,104,1400000,3000000,8.2
tt0109707,127,18000000,5887457,7.8
tt0112641,178,52000000,116112375,8.2
tt0080455,133,27000000,115229890,7.9
tt0089457,121,20000000,18432000,7.0
tt0312004,85,30000000,192452832,7.4
tt0438488,115,200000000,371353001,6.5
tt0085549,95,4000000,92921203,6.2
tt0054215,109,806948,32000000,8.5
tt0129387,119,23000000,369884651,7.1
tt0407265,103,1000000,13350369,7.4
tt0119314,170,60000000,186883563,6.6
tt0042876,88,250000,96568,8.2
tt0115632,108,2962051,3011195,6.9
tt0137523,139,63000000,100853753,8.8
tt0069113,117,5000000,84563118,7.1
tt0276919,178,10000000,16680836,8.0
tt0145487,121,139000000,821708551,7.3
tt0316654,127,200000000,783766341,7.3
tt0413300,139,258000000,890871626,6.2
tt0360486,121,100000000,230884728,7.0
tt0095016,131,28000000,140767956,8.2
tt0120201,129,105000000,121214377,7.2
tt0120616,124,80000000,415885488,7.0
tt0298130,115,48000000,249348933,7.1
tt0047396,112,1000000,36764313,8.4
tt0112384,140,52000000,355237933,7.6
tt0056869,119,2500000,11403529,7.7
tt0068611,116,3500000,12600000,7.4
tt0049470,120,2500000,10250000,7.5
tt0065214,145,6244087,638641,7.9
tt0114681,106,20000000,21284514,6.8
tt0073195,124,7000000,470654000,8.0
tt0077766,116,20000000,187884007,5.8
tt0093300,89,23000000,51881013,2.9
tt0099348,181,22000000,424208848,8.0
tt0405094,137,2000000,70000000,8.4
tt0079470,94,4000000,20045115,8.1
tt0322259,107,76000000,236350661,5.9
tt0198781,92,115000000,562816256,8.0
tt0120885,97,15000000,64256513,7.2
tt0319061,125,70000000,122919055,8.0
tt0384537,125,50000000,97607453,6.5
tt0274558,114,25000000,41597830,7.5
tt0382625,149,125000000,767820459,6.6
tt0071360,113,1600000,4420000,7.8
tt0362227,128,60000000,219417255,7.3
tt0056592,129,2000000,13129846,8.3
tt0120338,194,200000000,1845034188,7.8
tt0317248,130,3300000,27387381,8.6
tt0043014,110,1752000,5000000,8.4
tt0093058,116,17000000,46357676,8.3
tt0083866,115,10500000,792910554,7.8
tt0116629,145,75000000,816969268,7.0
tt0133093,136,63000000,463517383,8.7
tt0234215,138,150000000,738599701,7.2
tt0242653,129,150000000,424988211,6.7
tt0089755,161,31000000,128499205,7.2
tt0119654,98,90000000,589390539,7.3
tt0120912,88,140000000,441818803,6.2
tt0084516,114,10700000,122200000,7.3
tt0408306,164,70000000,130358911,7.5
tt0363163,156,18339750,92180910,8.2
tt0335345,127,30000000,611899420,7.1
tt0325710,154,140000000,456758981,7.7
tt0120890,108,20000000,67200000,6.5
tt0004972,190,110000,11000000,6.4
tt0103855,129,25000000,411006740,6.3
tt0087332,107,30000000,295212467,7.8
tt0077631,110,6000000,181813770,7.2
tt0142688,133,38000000,58401898,6.7
tt0095159,108,7500000,62493712,7.5
tt0087553,141,14400000,34700291,7.8
tt0117951,93,4000000,16491080,8.1
tt0110148,123,60000000,223664608,7.6
tt0114814,106,6000000,23341568,8.5
tt0032138,102,2777000,33754967,8.0
tt0243155,97,25000000,281929795,6.7
tt0092563,113,17000000,17185632,7.3
tt0066434,86,777000,2437000,6.7
tt0118799,116,20000000,229400000,8.6
tt0116922,134,15000000,3675201,7.6
tt0098635,96,16000000,92823546,7.6
tt0264464,141,52000000,352114312,8.1
tt0180093,102,4500000,7390108,8.3
tt0064115,110,6000000,102308889,8.0
tt0212720,146,100000000,235926552,7.2
tt0055928,110,950000,59600000,7.3
tt0101507,112,6500000,57504069,7.7
tt0066026,116,3500000,81600000,7.5
tt0332452,163,175000000,497409852,7.2
tt0047296,108,910000,9600000,8.1
tt0087884,147,1746964,2181987,8.1
tt0057076,115,2000000,78898765,7.4
tt0058150,110,2500000,124881062,7.7
tt0059800,130,5500000,141195658,7.0
tt0890870,93,10000000,139352633,5.9
tt0117998,113,92000000,494471524,6.4
tt0052618,212,15000000,146900000,8.1
tt0140888,113,2900000,5596708,7.9
tt0062512,117,9500000,111584787,6.9
tt0064757,142,6500000,81974493,6.7
tt0364569,120,3000000,14980005,8.4
tt0241527,152,125000000,976475550,7.6
tt0295297,161,100000000,876688482,7.4
tt0304141,141,130000000,789804554,7.9
tt0330373,157,150000000,895921036,7.7
tt0373889,138,150000000,938212738,7.5
tt0213149,183,140000000,449220945,6.2
tt0090605,137,18500000,183316455,8.4
tt0110912,154,8000000,213928762,8.9
tt0066995,120,7200000,116019547,6.6
tt0071807,125,7000000,97572000,6.8
tt0118884,150,90000000,171120329,7.4
tt0112818,122,11000000,39363635,7.5
tt0112579,135,24000000,182016617,7.6
tt0076752,125,14000000,185438673,7.1
tt0069089,93,12000,6000000,6.1
tt0290002,115,80000000,516642939,6.3
tt0081505,144,19000000,44017374,8.4
tt0079574,126,34000000,210308099,6.3
tt0082398,127,28000000,195312802,6.8
tt0086034,131,27500000,187500000,6.6
tt0044081,125,1800000,8000000,8.0
tt0075686,93,4000000,38251425,8.0
tt0058182,88,560000,12299668,7.6
tt0042192,138,1400000,63463,8.2
tt0090264,131,30000000,152427960,6.4
tt0093428,130,40000000,191185897,6.7
tt0097742,133,32000000,156167015,6.6
tt0113189,130,58000000,352194034,7.2
tt0181536,136,43000000,80049764,7.3
tt0109831,117,6000000,254700832,7.0
tt0107822,121,7000000,116700000,7.6
tt0120347,119,110000000,333011068,6.5
tt0092099,110,15000000,356830601,6.9
tt0167404,107,40000000,672806292,8.1
tt0093389,163,23000000,43984230,7.7
tt0365748,99,4000000,30039392,7.9
tt0434409,132,54000000,132511035,8.2
tt0119094,138,80000000,245676146,7.3
tt0116367,108,19000000,25836616,7.2
tt0032455,124,2280000,83320000,7.8
tt0071853,91,400000,5028948,8.2
tt0103873,104,3000000,242623,7.5
tt0083907,85,350000,29400000,7.5
tt0092991,84,3600000,5923044,7.8
tt0417741,153,250000000,933959197,7.6
tt0120681,122,35000000,74558115,6.8
tt0099685,145,25000000,46836394,8.7
tt0031381,238,4000000,400176459,8.1
tt0099785,103,18000000,476684675,7.6
tt0104431,120,18000000,358991681,6.7
tt0449059,102,8000000,100523181,7.8
tt0119177,106,36000000,12532777,7.8
tt0083987,191,22000000,77737889,8.0
tt0181875,122,60000000,47383689,7.9
tt0356910,120,110000000,478207520,6.5
tt0107614,125,25000000,441286195,7.0
tt0080749,89,1000000,21378361,6.8
tt0432291,100,18000000,46201432,3.7
tt0091763,120,6000000,138530565,8.1
tt0090756,120,6000000,8551228,7.8
tt0075005,111,2800000,60922980,7.5
tt0120632,114,55000000,198685114,6.7
tt0139134,97,10500000,75902208,6.8
tt0093105,121,13000000,123922370,7.3
tt0056193,153,2000000,9250000,7.6
tt0046250,119,1500000,12000000,8.0
tt0063522,136,3200000,33395426,8.0
tt0466909,110,25000000,119188334,5.5
tt0114369,127,33000000,327311859,8.6
tt0126029,90,60000000,484409218,7.8
tt0298148,93,150000000,919838758,7.2
tt0413267,93,160000000,798958165,6.0
tt0103639,90,28000000,504050219,8.0
tt0080339,88,3500000,83453539,7.7
tt0082010,97,10000000,31973249,7.5
tt0118655,94,16500000,67683989,7.0
tt0145660,95,33000000,310940086,6.6
tt0295178,94,63000000,296633907,6.2
tt0117665,147,44000000,165615285,7.6
tt0102138,189,40000000,205405498,8.0
tt0055031,186,3000000,10000000,8.2
tt0203009,127,52500000,179213434,7.6
tt0145734,121,20000000,3970078,7.0
tt0050212,161,3000000,33300000,8.1
tt0071315,130,6000000,30000000,8.2
tt0049223,98,1900000,3250000,7.6
tt0401855,106,50000000,111340801,6.7
tt0086541,87,5952000,2120439,7.3
tt0069704,110,777000,140000000,7.4
tt0075860,135,20000000,303788635,7.6
tt0087182,137,40000000,30925690,6.5
tt0212712,129,12000000,19271312,7.4
tt0044079,101,1200000,7000000,8.0
tt0120902,121,66000000,189198313,7.0
tt0096446,126,35000000,57269863,7.3
tt0082288,108,18000000,14110013,6.7
tt0085811,117,27000000,16519460,6.1
tt0215750,131,70000000,96976270,7.6
tt0110475,101,23000000,351583407,6.9
tt0265086,144,92000000,172989651,7.7
tt0096438,104,70000000,329803958,7.7
tt0120815,169,70000000,481840909,8.6
tt0108160,105,21000000,227799884,6.8
tt0094947,119,14000000,34670720,7.6
tt0086567,114,12000000,79567667,7.1
tt0100802,113,65000000,261317921,7.5
tt0114709,81,30000000,373554033,8.3
tt0120363,92,90000000,497366869,7.9
tt0106611,98,14000000,154864401,7.0
tt0093894,101,27000000,38122105,6.7
tt0308644,106,25000000,116766556,7.7
tt0108162,108,40000000,116300000,5.0
tt0468565,94,3000000,9879971,7.2
tt0133152,119,100000000,362211740,5.7
tt0063442,112,5800000,33395426,8.0
tt0045152,103,2540800,7200000,8.3
tt0088939,154,15000000,146292009,7.8
tt0060665,120,3900000,28350000,7.7
tt0102057,144,70000000,300854823,6.8
tt0104257,138,40000000,243240178,7.7
tt0036868,172,2100000,23650000,8.0
tt0109813,91,46000000,341631208,4.9
tt0158622,90,83000000,59468275,3.6
tt0074119,138,8500000,70600000,8.0
tt0101700,99,4000000,13760640,7.6
tt0055798,147,2650000,3100000,7.8
tt0021749,87,1500000,19181,8.5
tt0112682,108,18000000,1738611,7.6
tt0061512,126,3000000,16217773,8.1
tt0059113,197,11000000,111858363,8.0
tt0155267,113,48000000,124305181,6.8
tt0032553,125,2000000,11000000,8.5
tt0062765,113,5500000,42300873,7.4
tt0092666,95,18000000,39321715,6.0
tt0317219,117,120000000,461983149,7.1
tt0352248,144,88000000,108539911,8.0
tt0077402,127,650000,55000000,7.9
tt0363547,101,28000000,102356381,7.3
tt0097216,120,6500000,37295445,7.9
tt0177789,102,45000000,90683916,7.3
tt0087363,106,11000000,153083102,7.3
tt0099700,106,50000000,41482207,6.4
tt0120685,139,130000000,379014294,5.4
tt0057012,95,1800000,9440272,8.4
tt0059578,132,600000,15000000,8.3
tt0093409,110,15000000,120207127,7.6
tt0097733,114,25000000,227853986,7.2
tt0104714,118,35000000,321731527,6.7
tt0122151,127,140000000,285444603,6.6
tt0056172,216,15000000,69995385,8.3
tt0077651,91,300000,70000000,7.8
tt0113277,170,60000000,187436818,8.2
tt0438097,91,80000000,660940780,6.8
tt0099938,111,15000000,201957688,6.1
tt0351283,86,75000000,532680671,6.9
tt0117060,110,80000000,457696359,7.1
tt0120755,123,125000000,546388105,6.1
tt0317919,126,150000000,397850012,6.9
tt0094012,96,22700000,38119483,7.1
tt0015864,95,923000,2500000,8.2
tt0033870,100,375000,1000000,8.0
tt0054047,128,2000000,4905000,7.7
tt0054331,197,12000000,60000000,7.9
tt0072890,125,1800000,46665856,8.0
tt0120102,136,70000000,131457682,7.1
tt0056218,126,80000000,96105910,7.9
tt0066999,102,4000000,35976000,7.7
tt0074486,89,10000,7000000,7.4
tt0078966,122,5900000,51718367,7.4
tt0054997,134,2000000,7600000,8.0
tt0067800,118,2200000,3251794,7.5
tt0031971,96,531374,1103757,7.9
tt0036775,107,927262,2500000,8.3
tt0166924,147,15000000,20117339,7.9
tt0110005,99,5000000,3049135,7.3
tt0067116,104,1800000,41158757,7.7
tt0298228,101,8000000,41400000,7.5
tt0102685,120,24000000,83531958,7.3
tt0139809,100,16000000,18564088,7.1
tt0084787,109,15000000,19629760,8.1
tt0082340,99,6000000,50244700,7.2
tt0460989,124,6500000,22889018,7.5
tt0482571,130,40000000,109676311,8.5
tt0443489,134,70000000,154937680,6.5
tt0056241,106,500000,2500000,8.1
tt0449467,143,25000000,135330182,7.4
tt0436697,103,15000000,123384128,7.3
tt0134119,139,40000000,128798265,7.4
tt0107943,134,11500000,23237911,7.8
tt0479143,102,24000000,155721132,7.1
tt0343737,167,85000000,59908565,6.7
tt0367959,121,50000000,82169884,6.2
tt0259324,114,110000000,228738393,5.2
tt0498380,141,19000000,68673228,7.9
tt0468492,119,11000000,88489643,7.0
tt0465551,92,15000000,49469904,7.4
tt0420223,113,30000000,53653224,7.6
tt0398808,96,60000000,137587063,7.1
tt0421073,109,20000000,65569869,6.8
tt0396555,95,150000000,169332978,6.8
tt0453451,90,25000000,229736344,6.4
tt0416449,117,65000000,422610419,7.7
tt0448134,107,50000000,32017803,7.2
tt0453556,90,34000000,95608995,6.2
tt0309987,115,15000000,15121165,7.2
tt0118689,85,18000000,251212670,6.5
tt0144084,102,7000000,34266564,7.6
tt0120679,123,12000000,56298474,7.4
tt0285742,111,4000000,44909486,7.0
tt0075148,119,1000000,117235147,8.1
tt0079817,119,7000000,200182160,7.2
tt0083944,93,15000000,125212904,7.7
tt0089880,96,44000000,300400432,6.5
tt0095956,102,63000000,189015611,5.8
tt0084602,99,17000000,270000000,6.8
tt0450259,143,100000000,170877916,8.0
tt0089927,91,31000000,300473716,6.9
tt0100507,104,42000000,119946358,5.3
tt0367027,101,2000000,5179037,6.4
tt0458242,78,1380000,1615018,6.9
tt0414993,96,35000000,15304890,7.2
tt0120780,123,48000000,77745568,7.0
tt0245574,106,5000000,33616692,7.6
tt0388789,85,350000,3515061,7.2
tt0454921,117,55000000,307077295,8.0
tt0101587,112,26000000,124033791,6.7
tt0112760,119,98000000,18517322,5.7
tt0102757,100,1227401,1277401,6.2
tt0320244,98,5000000,742898,6.3
tt0457430,118,19000000,83258226,8.2
tt0407887,151,90000000,289847354,8.5
tt0396171,147,50000000,132180323,7.5
tt0285823,102,29000000,98185582,6.4
tt0307901,135,15000000,13060843,7.6
tt0310793,120,4000000,35564473,7.9
tt0256009,106,4500000,6459020,7.4
tt0390538,91,218,1162014,7.1
tt0404203,136,26000000,14821658,7.5
tt0445946,96,25000000,5549200,5.6
tt0159097,97,6000000,10409377,7.2
tt0348150,154,270000000,391081192,6.0
tt0052311,95,829000,2247465,8.0
tt0167190,122,66000000,99318987,6.8
tt0443543,110,40000000,86915017,7.6
tt0103594,154,47000000,7191399,6.5
tt0212346,111,45000000,212000000,6.2
tt0320661,144,130000000,211643158,7.2
tt0101615,91,6000000,1193062,2.9
tt0103060,88,25000000,78000000,6.0
tt0100758,93,13500000,202000000,6.8
tt0108308,96,21000000,42000000,4.8
tt0455590,121,6000000,48027970,7.7
tt0446013,99,45000000,30822861,5.4
tt0266987,126,92000000,143049560,7.1
tt0264472,89,45000000,94935764,6.4
tt0369339,120,65000000,217764291,7.5
tt0103074,130,16000000,45361000,7.5
tt0151804,89,10000000,12827813,7.7
tt0093437,97,8500000,32222567,7.3
tt0099582,115,26000000,61489265,6.6
tt0283900,122,5300000,3897799,7.3
tt0463854,100,15000000,64238440,7.0
tt0337978,128,110000000,383531464,7.1
tt0112864,128,90000000,366101666,7.6
tt0099423,124,70000000,240031094,7.2
tt0299658,113,45000000,306776732,7.1
tt0120804,100,33000000,102984862,6.7
tt0318627,94,45000000,129394835,6.2
tt0081398,129,18000000,23000000,8.2
tt0472043,139,40000000,120175290,7.8
tt0040746,80,1500000,2200000,8.0
tt0457939,136,85000000,194168700,6.9
tt0332379,108,35000000,131282949,7.1
tt0038650,130,3180000,9644124,8.6
tt0363988,96,40000000,92913171,6.6
tt0108550,118,11000000,30000000,7.8
tt0204946,98,28000000,90449929,6.0
tt0117381,129,30000000,102616183,7.7
tt0477347,108,110000000,574480841,6.4
tt0212338,108,55000000,330444045,7.0
tt0101540,128,35000000,182300000,7.3
tt0106489,121,22000000,17287898,7.8
tt0202677,119,8500000,19125401,6.7
tt0465494,89,24000000,99965753,6.3
tt0086465,116,40600000,90400000,7.5
tt0119528,86,45000000,181000000,6.9
tt0056663,85,64000,24517,8.0
tt0117318,129,36000000,20300385,7.3
tt0095647,128,15000000,34604000,7.8
tt0101921,130,11000000,119418501,7.7
tt0106965,112,20000000,153698625,5.9
tt0399201,136,126000000,162949164,6.8
tt0230030,93,48000000,90383208,6.0
tt0111257,116,30000000,350448145,7.2
tt0120179,121,160000000,164508066,3.9
tt0375679,112,6500000,98410061,7.8
tt0141098,105,75000000,93888180,5.4
tt0113957,114,22000000,110627965,5.9
tt0070849,129,1250000,36144000,7.0
tt0117913,149,40000000,152266007,7.5
tt0463998,123,21000000,41170784,7.5
tt0096928,90,10000000,40485039,6.9
tt0061578,150,5400000,45300000,7.8
tt0386140,129,75000000,142400065,5.9
tt0428803,80,8000000,127392239,7.5
tt0099810,134,30000000,199200000,7.6
tt0350258,152,40000000,124731534,7.7
tt0444682,99,40000000,62771059,5.6
tt0065462,95,3000000,18999718,6.1
tt0067065,98,2500000,12348905,6.3
tt0068408,88,1700000,9700000,6.1
tt0107426,140,35000000,4858139,6.1
tt0450278,94,4800000,80578934,5.9
tt0498353,93,10200000,35619521,5.5
tt0089885,86,900000,2023414,7.2
tt0100157,107,20000000,61276872,7.8
tt0118880,115,75000000,224012234,6.9
tt0069768,93,1700000,8844595,5.5
tt0049261,201,5400000,35000000,7.6
tt0102175,132,14000000,32482682,6.5
tt0124315,126,24000000,88545092,7.4
tt0405676,125,55000000,9450897,6.2
tt0238112,131,57000000,62112895,5.9
tt0800080,114,150000000,163712074,6.7
tt0055614,152,6000000,43656822,7.5
tt0371746,126,140000000,585174222,7.9
tt0865556,104,55000000,127906624,6.6
tt0209163,130,98000000,433013274,6.3
tt0859163,112,145000000,401128639,5.2
tt0435705,96,70000000,18211013,6.2
tt0117039,132,28000000,16900000,7.2
tt0458339,124,140000000,370569774,6.9
tt0109370,91,11000000,178104,6.0
tt0361596,122,6000000,119114517,7.5
tt0098213,91,160000,6706368,7.4
tt0497116,100,1000000,46243000,7.4
tt0087277,107,8200000,80035402,6.6
